"ACAN"	"AIM1L"	"CDH24"	"CDKN2A"	"CENPE"	"CLEC4M"	"FAM83F"	"GNAZ"	"KDM8"	"KIF18A"	"LPL"	"MYOM2"	"PRAMEF9"	"PZP"	"SEMA5B"	"cg02871891"
"153"	2.807354922	8.224001674	5.754887502	10.71853288	8.299208018	0	3.321928095	9.917372079	6.754887502	7.971543554	5.129283017	3.169925001	0	0	5.554588852	0.748394664
"357"	1.584962501	6.87036472	6.357552005	7.14974712	7.491853096	0	0	10	10.02236781	4.906890596	8.154818109	7.159871337	0	2	7.434628228	0.910828919
"407"	0	7.276124405	5.614709844	11.34817487	7.022367813	1.584962501	2.807354922	2	6.714245518	6.189824559	7.442943496	3.906890596	0	0	6.321928095	0.925447188
"258"	7.592457037	6.781359714	6.06608919	10.14593215	8.539158811	0	0	9.642051693	12.44035012	6.832890014	9.681238412	2.584962501	4.857980995	2	7.475733431	0.266620037
"245"	3.321928095	8.361943774	5.247927513	7.357552005	8.951284715	0	3.321928095	8.475733431	8.661778098	7.459431619	8.882643049	5.459431619	1	1	6.882643049	0.791027513
"58"	5.169925001	1.584962501	6.741466986	10.86186234	9.941047606	0	5.491853096	5.64385619	7.033423002	9.73809226	6.554588852	1.584962501	0	0	7.930737338	0.728353461
"256"	0	5	8.807354922	11.57601187	10.16616308	0	1	9.789533645	10.54303182	7.562242424	6.820178962	3.807354922	0	9.177419538	6.285402219	0.252017166
"222"	3.906890596	5.584962501	6.375039431	4.459431619	7.622051819	2.321928095	4.392317423	9.736401931	8.927777962	6.599912842	5.392317423	4.584962501	0	3	7.46760555	0.822922499
"330"	1	6.965784285	7.400879436	9.189824559	6.06608919	5.044394119	0	4.392317423	9.030667136	5.321928095	8.82336724	6.044394119	0	5	7.348728154	0.901987531
"59"	5.781359714	7.864186145	7.857980995	8.174925683	7.294620749	3	5.64385619	5.781359714	7.888743249	7.159871337	6.599912842	8.686500527	0	8.820178962	7.076815597	0.901112797
"178"	4.523561956	2.807354922	6.794415866	5.614709844	4.807354922	1	3.584962501	9.560332834	9.874981348	3.700439718	7.665335917	5.392317423	0	6.108524457	7.707359132	0.793347324
"31"	7.011227255	4.392317423	6	6.523561956	6.50779464	0	4.857980995	8.285402219	7.055282436	4.392317423	6.442943496	3.700439718	0	2.321928095	8.005624549	0.833239175
"366"	0	3.807354922	7.888743249	10.97441459	8.942514505	0	1	9.108524457	10.02097994	8.873444113	7.257387843	5.523561956	2.807354922	4.807354922	5	0.760088931
"43"	4.523561956	9.50779464	9.943979914	6.108524457	5.727920455	0	5.044394119	7.483815777	6.459431619	5.044394119	5.491853096	7.515699838	0	0	8.573647187	0.196636053
"336"	0	6.426264755	6.266786541	7.622051819	7.303780748	7.62935662	1	6.247927513	10.01402047	5.754887502	6.614709844	6.894817763	0	4	5.209453366	0.91932379
"231"	2.584962501	0	4	5.321928095	5.426264755	10.6110248	7.50779464	6.06608919	11.27903014	0	4.906890596	9.942514505	0	10.36194377	4.523561956	0.456538953
"64"	2	6.672425342	6.22881869	4.459431619	7.826548487	0	2.584962501	9.485829309	6.686500527	7.475733431	6.658211483	1.584962501	0	0	7.554588852	0.931840467
"213"	6.584962501	4.95419631	7.285402219	9.011227255	8.82336724	0	4.321928095	8.622051819	7.033423002	6.832890014	7.108524457	2.321928095	0	3.169925001	7.475733431	0.810693591
"143"	5.95419631	6.686500527	5.832890014	9.164906927	7.864186145	2.807354922	2.321928095	7.257387843	7.129283017	6.894817763	5.209453366	5.554588852	0	4.321928095	5.832890014	0.860066679
